"ref","value",
"C1","0.1uF","PCC1828CT-ND"
"C2","0.33uF","495-1497-1-ND"
"C3","0.01uF","PCC2446CT-ND"
"C4","0.01uF","PCC2446CT-ND"
"C5","0.01uF","PCC2446CT-ND"
"C6","0.01uF","PCC2446CT-ND"
"C7","0.01uF","PCC2446CT-ND"
"C8","0.01uF","PCC2446CT-ND"
"C9","0.01uF","PCC2446CT-ND"
"C10","0.01uF","PCC2446CT-ND"
"C11","0.01uF","PCC2446CT-ND"
"C12","0.01uF","PCC2446CT-ND"
"D1","DIODE","641-1007-1-ND"
"D2","DIODE","641-1007-1-ND"
"D3","DIODE","641-1007-1-ND"
"D4","DIODE","641-1007-1-ND"
"D5","DIODE","641-1007-1-ND"
"D6","DIODE","641-1007-1-ND"
"D7","DIODE","641-1007-1-ND"
"D8","DIODE","641-1007-1-ND"
"D9","DIODE","641-1007-1-ND"
"D10","DIODE","641-1007-1-ND"
"D11","DIODE","641-1007-1-ND"
"K1","DATA_C","WM5573-ND"
"K2","GDLOX1","N/A"
"K3","GDLOX2","N/A"
"P13","ARDUINO_1","MSH26ECT-ND"
"P14","ARDUINO_2","MSH26ECT-ND"
"P15","TC_1","A30771-ND"
"P16","TC_2","A30771-ND"
"P17","TC_3","A30771-ND"
"P18","TC_4","A30771-ND"
"P19","TC_5","A30771-ND"
"P20","TC_6","A30771-ND"
"P21","TC_7","A30771-ND"
"P22","TC_8","A30771-ND"
"P23","TC_9","A30771-ND"
"P24","TC_10","A30771-ND"
"P25","PWR","A33212CT-ND"
"R11","20k","RR12P20.0KDCT-ND"
"R12","33k","RR12P30.0KDCT-ND"
"R13","33k","RR12P30.0KDCT-ND"
"R14","33k","RR12P30.0KDCT-ND"
"R15","33k","RR12P30.0KDCT-ND"
"R16","33k","RR12P30.0KDCT-ND"
"R17","33k","RR12P30.0KDCT-ND"
"R18","33k","RR12P30.0KDCT-ND"
"R19","33k","RR12P30.0KDCT-ND"
"R20","33k","RR12P30.0KDCT-ND"
"R21","33k","RR12P30.0KDCT-ND"
"SW1","DEBUG","401-2002-1-ND"
"U3","74HC08DB","568-2595-5-ND"
"U4","CD40257BMG4","CD40257BMG4 NOT STOCKED!!"
"U5","CD40257BMG4","CD40257BMG4 NOT STOCKED!!"
"U7","CD74HC30M","296-9197-5-ND"
"U8","MM74HC04M","MM74HC04M"
"U10","HEF4067BT","568-3114-5-ND"
"U11","HEF4067BT","568-3114-5-ND"
"U12","L7805ABD2T-TR","497-1170-1-ND"
"U13","74HC4094","497-7383-1-ND"
"U14","MM74HC04M","MM74HC04M"
