ref,value
C1,0.1uF,PCC1828CT-ND,,,,,,,
C2,0.33uF,495-1497-1-ND,,,,,,,
C3,0.1uF,PCC1828CT-ND,,,,,,,
C4,0.01uF,PCC2446CT-ND,,,,,,,
C5,0.01uF,PCC2446CT-ND,,,,,,,
C6,0.01uF,PCC2446CT-ND,,,,,,,
C7,0.01uF,PCC2446CT-ND,,,,,,,
C8,0.01uF,PCC2446CT-ND,,,,,,,
C9,0.01uF,PCC2446CT-ND,,,,,,,
C10,0.01uF,PCC2446CT-ND,,,,,,,
C11,0.01uF,PCC2446CT-ND,,,,,,,
D1,DIODE,641-1007-1-ND,,,,,,,
K1,DATA_C,WM5573-ND,,,,,,,
K2,RELAY_BISTABLE,PB963-ND,,,,,,,
P1,BATT_C,A33214TR-ND,A30260-ND,,,,,,
P2,EXP_PWR_C,A33214TR-ND,A30260-ND,,,,,,
P3,TS_1,A33212CT-ND,A30258-ND,A30309-ND,,,,,
P4,TS_2,A33212CT-ND,,,,,,,
P5,TS_3,A33212CT-ND,,,,,,,
P6,TS_4,A33212CT-ND,,,,,,,
P7,TS_5,A33212CT-ND,,,,,,,
P8,TS_6,A33212CT-ND,,,,,,,
P9,TS_7,A33212CT-ND,,,,,,,
P10,TS_8,A33212CT-ND,,,,,,,
P11,TS_9,A33212CT-ND,,,,,,,
P12,TS_10,A33212CT-ND,,,,,,,
P13,ARDUINO_1,MSH26ECT-ND,3M9104-ND,,,,,,
P14,ARDUINO_2,MSH26ECT-ND,,,,,,,
Q1,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q2,MOSFET_N,ZVN4424GTA,,,,,,,
Q3,MOSFET_N,ZVN4424GTA,,,,,,,
Q4,MOSFET_N,ZVN4424GTA,,,,,,,
Q5,MOSFET_N,ZVN4424GTA,,,,,,,
Q6,MOSFET_N,ZVN4424GTA,,,,,,,
Q7,MOSFET_N,ZVN4424GTA,,,,,,,
Q8,MOSFET_N,ZVN4424GTA,,,,,,,
Q9,MOSFET_N,ZVN4424GTA,,,,,,,
Q10,MOSFET_N,ZVN4424GTA,,,,,,,
Q11,MOSFET_N,ZVN4424GTA,,,,,,,
Q12,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q13,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q14,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q15,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q16,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q17,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q18,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q19,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q20,MOSFET_P,ZVP4424GCT-ND,,,,,,,
Q21,MOSFET_N,ZVN4424GTA,,,,,,,
Q22,MOSFET_N,ZVN4424GTA,,,,,,,
R11,20k,RR12P20.0KDCT-ND,,,,,,,
R12,20k,RR12P20.0KDCT-ND,,,,,,,
R13,20k,RR12P20.0KDCT-ND,,,,,,,
R14,20k,RR12P20.0KDCT-ND,,,,,,,
R15,20k,RR12P20.0KDCT-ND,,,,,,,
R16,20k,RR12P20.0KDCT-ND,,,,,,,
R17,20k,RR12P20.0KDCT-ND,,,,,,,
R18,20k,RR12P20.0KDCT-ND,,,,,,,
R19,20k,RR12P20.0KDCT-ND,,,,,,,
R20,20k,RR12P20.0KDCT-ND,,,,,,,
R21,20k,RR12P20.0KDCT-ND,,,,,,,
SW1,DEBUG,401-2002-1-ND,,,,,,,
U3,74HC08DB,568-2595-5-ND,,,,,,,
U4,CD40257BMG4,CD40257BMG4 NOT STOCKED!!,,,,,,,
U5,CD40257BMG4,CD40257BMG4 NOT STOCKED!!,,,,,,,
U7,CD74HC30M,296-9197-5-ND,,,,,,,
U8,MM74HC04M,MM74HC04M,,,,,,,
U9,L7805ABD2T-TR,497-1170-1-ND,,,,,,,
U10,74HC4094,497-7383-1-ND,,,,,,,
U11,74HC4094,497-7383-1-ND,,,,,,,
U12,74HC4094,497-7383-1-ND,,,,,,,
